carat,cut,color,clarity,depth,table,price,x,y,z
1.08,Very Good,E,SI2,60.2,58.0,386448,6.61,6.68,4.0
1.08,Good,E,SI2,63.7,57.0,386448,6.49,6.54,4.15
1.0,Fair,F,VS2,68.4,58.0,386448,5.97,6.1,4.13
1.06,Premium,F,SI2,62.0,59.0,386448,6.57,6.52,4.06
1.16,Very Good,I,SI1,61.5,60.4,386531,6.71,6.76,4.14
1.2,Premium,J,SI1,61.5,59.0,386531,6.84,6.81,4.2
0.9,Premium,H,VVS2,62.4,58.0,386531,6.15,6.12,3.83
1.32,Very Good,J,SI1,63.5,57.0,386531,6.98,6.95,4.42
1.0,Fair,F,SI1,65.8,58.0,386531,6.23,6.15,4.07
0.9,Ideal,F,SI1,61.7,57.0,386531,6.25,6.2,3.84
1.2,Ideal,J,SI2,61.7,56.0,386697,6.79,6.87,4.21
1.2,Good,J,SI2,63.3,54.4,386697,6.72,6.78,4.27
1.01,Very Good,H,SI1,63.5,57.0,386697,6.31,6.35,4.02
1.09,Premium,I,VS2,61.3,58.0,386697,6.63,6.58,4.05
1.04,Premium,H,SI1,58.5,62.0,386697,6.67,6.64,3.89
1.04,Ideal,I,SI1,61.3,57.0,386697,6.56,6.53,4.01
1.04,Ideal,I,SI1,61.3,57.0,386697,6.57,6.54,4.02
1.19,Premium,I,SI2,62.6,58.0,386780,6.7,6.75,4.21
1.27,Premium,J,SI2,60.4,58.0,386780,7.04,7.0,4.24
0.94,Very Good,E,SI1,62.4,56.0,386863,6.24,6.27,3.9
0.94,Very Good,E,SI1,61.8,56.0,386863,6.29,6.33,3.9
0.94,Premium,E,SI1,60.0,58.0,386863,6.37,6.44,3.84
0.94,Premium,E,SI1,62.0,58.0,386863,6.24,6.27,3.88
1.13,Very Good,H,SI2,62.7,55.0,386863,6.61,6.69,4.17
0.9,Premium,G,VS1,62.7,58.0,386863,6.06,6.15,3.83
1.23,Very Good,F,SI2,60.9,58.0,386863,6.93,6.96,4.23
1.15,Very Good,H,SI2,63.7,56.0,386863,6.63,6.66,4.23
1.0,Very Good,D,SI2,62.5,58.0,386863,6.35,6.44,4.0
0.9,Ideal,D,SI1,61.3,58.0,386863,6.16,6.21,3.79
1.11,Premium,H,SI2,61.5,59.0,386946,6.67,6.63,4.09
1.11,Premium,H,SI2,62.9,59.0,386946,6.59,6.54,4.13
1.02,Premium,I,VS2,59.5,59.0,386946,6.54,6.5,3.88
0.9,Very Good,H,VS2,62.6,57.0,386946,6.11,6.09,3.82
1.02,Ideal,I,VS2,61.5,57.0,386946,6.49,6.45,3.98
1.02,Ideal,F,SI2,62.4,55.0,386946,6.46,6.43,4.02
1.06,Ideal,G,SI2,61.0,57.0,386946,6.61,6.56,4.02
1.02,Ideal,F,SI2,61.4,56.0,386946,6.5,6.47,3.98
1.11,Ideal,H,SI2,62.7,57.0,386946,6.66,6.59,4.14
1.11,Premium,H,SI2,61.6,60.0,386946,6.67,6.6,4.09
1.11,Ideal,H,SI2,62.0,54.0,386946,6.64,6.61,4.11
1.11,Ideal,H,SI2,61.3,55.0,386946,6.73,6.65,4.1
0.91,Ideal,I,VVS2,60.6,57.0,387029,6.25,6.27,3.79
1.12,Premium,D,SI2,59.5,59.0,387029,6.8,6.75,4.03
0.91,Premium,D,SI1,62.3,60.0,387029,6.21,6.15,3.85
0.91,Premium,D,SI1,59.0,61.0,387029,6.35,6.29,3.73
0.9,Very Good,H,VVS1,62.1,59.0,387112,6.17,6.19,3.84
1.0,Ideal,I,VS1,63.1,57.0,387112,6.32,6.39,4.01
1.11,Premium,E,SI2,62.5,58.0,387112,6.63,6.61,4.14
0.91,Very Good,H,VVS2,62.9,58.0,387195,6.14,6.17,3.87
0.86,Very Good,E,VS2,62.3,56.0,387195,6.05,6.08,3.78
0.98,Ideal,G,SI1,62.3,56.0,387195,6.37,6.34,3.96
1.19,Very Good,I,SI1,63.2,58.0,387195,6.82,6.7,4.27
1.0,Fair,H,SI1,67.6,59.0,387195,6.03,5.95,4.05
1.01,Very Good,I,VS2,62.3,60.0,387278,6.33,6.41,3.97
1.01,Very Good,E,SI2,59.5,59.0,387278,6.54,6.58,3.9
1.01,Ideal,E,SI2,62.2,54.0,387278,6.39,6.43,3.99
1.01,Very Good,D,SI1,62.4,58.0,387278,6.39,6.47,4.01
1.01,Ideal,E,SI2,61.2,54.0,387278,6.49,6.52,3.98
1.01,Premium,E,SI2,61.5,58.0,387278,6.4,6.43,3.95
1.01,Premium,E,SI2,62.6,59.0,387278,6.36,6.39,3.99
1.01,Very Good,E,SI2,61.5,56.0,387278,6.45,6.47,3.97
1.01,Ideal,E,SI2,61.1,57.0,387278,6.48,6.52,3.97
1.01,Good,E,SI2,63.7,58.0,387278,6.32,6.36,4.04
1.24,Ideal,J,SI2,61.6,57.0,387278,6.89,6.87,4.24
1.24,Premium,E,SI2,60.5,62.0,387278,6.97,6.89,4.19
0.93,Ideal,G,SI1,62.2,58.0,387278,6.2,6.24,3.87
1.24,Premium,J,SI2,62.2,58.0,387278,6.94,6.82,4.28
1.05,Ideal,G,SI2,62.2,54.0,387361,6.52,6.56,4.07
1.04,Ideal,F,SI2,62.1,57.0,387444,6.46,6.48,4.02
0.9,Very Good,G,VVS2,62.6,55.0,387444,6.12,6.19,3.85
0.9,Very Good,D,VS2,63.0,62.0,387444,6.06,6.13,3.84
0.9,Good,G,VVS2,62.6,58.0,387444,6.1,6.13,3.83
1.03,Very Good,E,SI2,62.1,59.0,387444,6.43,6.46,4.0
0.91,Very Good,E,SI2,63.2,56.0,387444,6.08,6.14,3.86
1.01,Ideal,E,SI2,61.6,58.0,387444,6.45,6.5,3.99
1.16,Ideal,I,SI1,61.7,56.0,387444,6.76,6.7,4.15
1.01,Very Good,H,SI1,63.3,56.0,387527,6.35,6.39,4.03
1.21,Good,F,SI2,63.7,64.0,387527,6.73,6.63,4.25
1.21,Premium,I,VS2,61.6,61.0,387527,6.86,6.8,4.21
1.11,Premium,G,SI2,61.5,58.0,387610,6.6,6.67,4.08
0.91,Premium,H,VS1,61.0,59.0,387610,6.25,6.18,3.79
0.91,Premium,H,VS1,61.8,54.0,387610,6.32,6.27,3.89
0.91,Very Good,H,VS1,59.4,63.0,387610,6.32,6.28,3.74
1.09,Ideal,G,SI2,61.2,57.0,387610,6.68,6.63,4.07
1.09,Ideal,G,SI2,62.1,56.0,387610,6.66,6.59,4.12
1.03,Good,D,SI2,59.3,58.0,387693,6.57,6.61,3.91
1.01,Premium,D,SI2,58.8,59.0,387776,6.58,6.55,3.86
1.01,Premium,G,SI1,61.2,61.0,387776,6.47,6.41,3.94
1.01,Good,G,SI1,60.7,59.0,387776,6.35,6.4,3.87
1.01,Premium,G,SI1,61.0,62.0,387776,6.49,6.4,3.93
1.01,Very Good,G,SI1,63.5,60.0,387776,6.33,6.3,4.01
1.01,Premium,D,SI2,62.8,59.0,387776,6.44,6.34,4.01
1.01,Very Good,G,SI1,63.4,58.0,387776,6.33,6.28,4.0
1.01,Good,G,SI1,63.9,57.0,387776,6.37,6.3,4.05
1.01,Premium,G,SI1,62.9,61.0,387776,6.4,6.36,4.01
1.01,Premium,D,SI2,62.2,60.0,387776,6.43,6.4,3.99
1.01,Good,G,SI1,63.6,57.0,387776,6.37,6.33,4.04
1.01,Premium,G,SI1,62.5,60.0,387776,6.39,6.34,3.98
1.01,Premium,D,SI2,61.8,60.0,387776,6.41,6.37,3.95
1.01,Ideal,G,SI1,62.9,54.0,387776,6.47,6.41,4.05
1.01,Premium,D,SI2,60.3,57.0,387776,6.56,6.51,3.94
1.01,Premium,G,SI1,59.6,61.0,387776,6.52,6.47,3.87
1.01,Good,D,SI2,63.9,57.0,387776,6.36,6.29,4.04
1.01,Premium,D,SI2,60.9,62.0,387776,6.45,6.43,3.92
1.01,Premium,D,SI2,58.3,59.0,387776,6.67,6.63,3.88
1.12,Very Good,H,SI1,63.1,56.0,387859,6.62,6.59,4.17
0.91,Ideal,G,SI1,62.5,56.0,387859,6.19,6.22,3.88
1.1,Good,F,SI2,60.5,61.0,387942,6.61,6.67,4.02
1.21,Premium,J,VS1,61.0,60.0,388025,6.88,6.83,4.18
1.08,Ideal,G,SI2,61.9,58.0,388025,6.55,6.57,4.06
1.02,Ideal,E,SI1,61.1,56.0,388025,6.51,6.45,3.96
1.05,Ideal,F,SI2,60.9,56.0,388025,6.64,6.56,4.02
1.01,Premium,I,VS2,62.5,58.0,388108,6.44,6.39,4.01
0.92,Very Good,D,SI1,62.9,56.0,388108,6.18,6.22,3.9
1.22,Ideal,J,SI2,61.2,57.0,388108,6.86,6.9,4.21
0.91,Premium,E,VS2,62.2,60.0,388108,6.21,6.13,3.84
1.0,Ideal,H,SI1,61.4,55.0,388108,6.49,6.44,3.97
1.01,Premium,F,SI2,61.9,58.0,388108,6.39,6.34,3.94
0.9,Premium,E,SI1,62.8,58.0,388191,6.13,6.09,3.84
1.74,Very Good,H,I1,63.2,55.0,388191,7.62,7.59,4.8
1.07,Ideal,F,SI2,62.0,57.0,388274,6.49,6.6,4.06
1.07,Ideal,F,SI2,61.5,57.0,388274,6.57,6.6,4.05
0.9,Very Good,F,VS2,61.9,57.0,388274,6.17,6.23,3.84
0.9,Ideal,F,VS2,62.7,56.0,388274,6.17,6.2,3.88
0.9,Very Good,F,VS2,61.7,56.0,388274,6.18,6.21,3.82
1.02,Premium,F,SI1,63.0,58.0,388274,6.4,6.36,4.02
1.02,Very Good,F,SI1,63.5,57.0,388274,6.4,6.35,4.05
1.18,Good,G,SI1,64.2,62.0,388274,6.6,6.51,4.25
1.02,Good,F,SI1,63.7,61.0,388274,6.27,6.23,3.98
0.91,Ideal,H,VS2,62.4,56.0,388274,6.2,6.14,3.85
1.19,Ideal,J,SI1,62.0,56.0,388274,6.8,6.77,4.21
1.03,Very Good,D,SI2,61.3,61.0,388357,6.46,6.49,3.97
1.03,Good,G,SI1,63.2,58.0,388357,6.38,6.43,4.05
1.03,Premium,D,SI2,61.7,58.0,388357,6.47,6.5,4.0
1.03,Very Good,D,SI2,62.8,56.0,388357,6.43,6.46,4.05
1.03,Ideal,D,SI2,61.2,57.0,388357,6.51,6.59,4.01
1.03,Ideal,G,SI1,62.4,57.0,388357,6.47,6.52,4.05
1.03,Ideal,D,SI2,61.8,56.0,388357,6.46,6.51,4.01
0.7,Very Good,E,IF,60.3,59.0,388357,5.72,5.76,3.46
1.05,Ideal,I,SI1,62.1,54.0,388357,6.54,6.55,4.06
1.0,Good,F,SI1,60.1,65.0,388357,6.4,6.44,3.86
1.0,Fair,F,SI1,56.5,60.0,388357,6.62,6.66,3.75
1.28,Good,G,SI2,63.6,57.0,388357,6.78,6.73,4.29
1.01,Very Good,H,SI1,59.8,61.0,388440,6.54,6.51,3.9
1.01,Ideal,H,SI1,61.4,60.0,388440,6.48,6.45,3.97
0.9,Very Good,F,VS2,62.6,58.0,388523,6.08,6.13,3.82
1.01,Very Good,I,SI1,62.1,58.0,388523,6.37,6.39,3.96
1.04,Very Good,H,SI1,59.7,60.0,388606,6.55,6.58,3.92
0.95,Premium,F,SI1,62.9,59.0,388606,6.24,6.13,3.89
0.9,Good,D,VS2,65.8,58.0,388606,5.99,6.01,3.95
1.09,Premium,D,SI2,62.2,59.0,388606,6.49,6.46,4.03
1.09,Good,D,SI2,63.8,60.0,388606,6.57,6.49,4.16
1.06,Ideal,D,SI2,61.2,57.0,388606,6.59,6.51,4.01
1.1,Very Good,H,SI1,63.5,55.0,388606,6.55,6.49,4.14
0.95,Premium,F,SI1,62.3,60.0,388606,6.3,6.26,3.91
1.05,Premium,H,SI1,62.2,58.0,388606,6.5,6.46,4.03
1.03,Ideal,F,SI2,61.6,55.0,388689,6.46,6.49,3.99
1.02,Ideal,F,SI2,61.6,56.0,388772,6.52,6.49,4.01
0.9,Very Good,H,VS1,63.6,55.0,388855,6.15,6.11,3.9
0.9,Very Good,H,VS1,62.8,59.0,388855,6.07,6.15,3.84
1.08,Very Good,G,SI2,62.8,56.0,388855,6.48,6.6,4.11
1.0,Very Good,E,SI2,59.6,62.0,388855,6.45,6.51,3.86
1.01,Ideal,I,VS2,59.9,61.0,388855,6.49,6.53,3.9
1.02,Ideal,I,SI1,61.3,57.0,388855,6.47,6.49,3.97
0.9,Good,H,VS2,58.2,59.0,388855,6.36,6.33,3.69
1.01,Good,E,SI2,58.7,63.0,388855,6.52,6.6,3.85
1.2,Premium,J,SI2,58.7,59.0,388855,6.99,6.94,4.09
1.21,Premium,I,SI2,62.3,59.0,388938,6.82,6.77,4.23
1.07,Ideal,J,VS2,61.7,58.0,388938,6.58,6.55,4.05
1.07,Ideal,J,VS2,61.6,56.0,388938,6.59,6.55,4.04
1.24,Premium,J,SI1,61.8,58.0,389021,6.9,6.86,4.25
0.9,Premium,E,VS2,62.6,59.0,389021,6.14,6.06,3.82
0.9,Premium,F,VS1,59.0,58.0,389021,6.33,6.29,3.72
1.11,Premium,H,VS1,62.3,57.0,389021,6.67,6.62,4.14
1.05,Very Good,I,SI1,62.6,56.0,389104,6.49,6.45,4.05
1.0,Fair,F,SI1,56.9,63.0,389104,6.45,6.52,3.69
1.02,Very Good,H,SI1,63.5,58.0,389104,6.39,6.36,4.05
1.02,Premium,H,SI1,62.6,59.0,389104,6.43,6.38,4.01
1.01,Premium,E,SI2,62.9,59.0,389104,6.37,6.31,3.99
1.14,Premium,G,SI2,61.1,59.0,389104,6.77,6.72,4.12
1.02,Very Good,H,SI1,63.2,57.0,389104,6.44,6.38,4.05
1.15,Premium,E,SI2,62.3,58.0,389104,6.73,6.67,4.18
1.13,Premium,H,SI1,61.2,59.0,389187,6.68,6.65,4.08
1.1,Very Good,H,SI1,63.0,57.0,389187,6.5,6.54,4.11
0.9,Ideal,H,VS1,61.9,56.0,389187,6.17,6.23,3.84
1.06,Premium,E,SI1,63.0,56.0,389187,6.54,6.45,4.09
1.13,Premium,H,SI1,62.1,58.0,389187,6.7,6.66,4.15
1.13,Very Good,H,SI1,63.3,56.0,389187,6.65,6.62,4.2
1.01,Very Good,F,SI2,62.5,58.0,389270,6.39,6.41,4.0
1.01,Very Good,D,SI2,60.1,60.0,389270,6.41,6.47,3.87
1.25,Premium,J,SI2,61.5,57.0,389270,7.0,6.93,4.28
1.21,Very Good,J,VS2,63.0,57.0,389353,6.73,6.77,4.25
0.92,Ideal,F,SI2,61.5,53.0,389353,6.26,6.3,3.86
1.1,Premium,E,SI2,60.1,62.0,389353,6.69,6.65,4.01
1.01,Good,E,SI1,63.3,57.0,389436,6.33,6.37,4.02
1.09,Ideal,I,SI1,59.4,61.0,389436,6.68,6.73,3.98
1.05,Premium,H,SI1,61.9,58.0,389436,6.5,6.45,4.01
1.05,Very Good,H,SI1,63.1,60.0,389436,6.49,6.42,4.07
1.05,Premium,H,SI1,59.5,58.0,389436,6.69,6.61,3.96
1.11,Premium,G,SI2,58.8,59.0,389436,6.8,6.76,3.99
1.05,Very Good,H,SI1,63.5,57.0,389436,6.47,6.44,4.1
1.01,Very Good,H,VS2,63.3,58.0,389436,6.33,6.27,3.99
0.93,Premium,D,SI2,62.0,56.0,389436,6.27,6.22,3.87
1.27,Ideal,J,SI2,62.6,57.0,389519,6.85,6.88,4.3
0.9,Very Good,D,SI1,59.6,62.0,389519,6.19,6.22,3.7
0.9,Very Good,D,SI1,62.4,61.0,389519,6.13,6.17,3.84
0.9,Premium,D,SI1,62.2,58.0,389519,6.11,6.18,3.82
0.9,Very Good,D,SI1,62.8,59.0,389519,6.14,6.18,3.87
1.01,Very Good,I,SI1,61.4,62.0,389519,6.39,6.45,3.94
1.01,Ideal,J,VS1,61.2,57.0,389519,6.45,6.49,3.96
1.01,Ideal,H,SI2,61.1,56.0,389519,6.44,6.48,3.95
1.01,Ideal,H,SI2,62.4,57.0,389519,6.36,6.43,3.99
0.96,Good,D,SI1,61.0,61.0,389519,6.29,6.33,3.85
1.01,Ideal,E,SI2,62.0,56.0,389602,6.46,6.42,3.99
1.01,Ideal,G,SI1,62.3,57.0,389602,6.41,6.36,3.98
1.01,Premium,D,SI2,60.4,60.0,389602,6.52,6.46,3.92
1.04,Ideal,F,SI2,62.0,54.0,389685,6.49,6.51,4.03
1.13,Fair,I,VS2,55.9,67.0,389685,7.05,6.94,3.9
0.92,Ideal,D,SI1,61.8,55.0,389768,6.25,6.28,3.87
1.04,Ideal,I,VS1,63.0,56.0,389768,6.44,6.41,4.05
0.9,Very Good,G,VVS1,63.3,58.0,389851,6.05,6.14,3.86
1.0,Very Good,D,SI1,60.1,60.0,389851,6.47,6.55,3.91
1.09,Good,F,SI2,60.3,61.0,389934,6.64,6.69,4.02
1.07,Ideal,E,SI2,62.4,57.0,389934,6.55,6.52,4.08
1.33,Fair,F,I1,62.0,56.0,389934,7.05,7.01,4.36
1.11,Premium,F,SI1,60.4,58.0,390017,6.68,6.66,4.03
1.09,Premium,H,SI2,62.0,57.0,390100,6.61,6.55,4.08
0.93,Ideal,E,SI1,59.6,57.0,390100,6.37,6.42,3.81
1.07,Premium,F,SI2,62.0,58.0,390100,6.57,6.52,4.06
1.07,Premium,F,SI2,60.3,58.0,390100,6.68,6.62,4.01
1.09,Good,H,SI1,62.4,64.0,390100,6.61,6.51,4.09
1.15,Premium,E,SI2,61.8,56.0,390183,6.75,6.7,4.15
1.14,Very Good,J,VS1,60.0,60.0,390266,6.76,6.81,4.07
1.0,Very Good,H,SI1,62.3,60.0,390266,6.34,6.38,3.96
1.0,Ideal,H,SI1,60.3,56.0,390266,6.52,6.54,3.94
1.0,Premium,H,SI1,61.5,58.0,390266,6.37,6.45,3.94
1.25,Very Good,J,SI1,62.5,57.0,390266,6.83,6.86,4.28
1.14,Good,I,SI1,63.5,56.0,390266,6.58,6.62,4.19
1.0,Good,H,SI1,63.7,60.0,390266,6.3,6.33,4.02
1.14,Premium,H,SI2,60.6,59.0,390266,6.77,6.8,4.11
1.0,Very Good,H,SI1,62.7,59.0,390266,6.3,6.37,3.97
0.72,Ideal,E,VVS1,61.6,56.0,390266,5.75,5.77,3.55
1.16,Premium,J,VS2,62.2,59.0,390266,6.74,6.69,4.18
1.04,Very Good,G,SI2,60.6,57.0,390349,6.56,6.6,3.99
1.02,Very Good,H,SI1,63.5,56.0,390349,6.36,6.43,4.06
1.2,Good,H,SI2,64.1,57.0,390432,6.68,6.65,4.27
1.32,Premium,I,SI2,60.8,58.0,390432,7.03,7.11,4.3
1.02,Very Good,G,SI1,62.9,56.0,390432,6.36,6.4,4.01
1.0,Fair,D,SI1,66.3,58.0,390432,6.15,6.04,4.04
1.5,Fair,I,I1,66.1,57.0,390432,7.12,7.04,4.68
1.5,Fair,I,I1,69.7,56.0,390432,6.94,6.9,4.82
1.0,Very Good,F,SI1,63.1,57.0,390432,6.37,6.33,4.01
1.0,Ideal,H,VS2,62.5,58.0,390432,6.38,6.33,3.97
1.26,Ideal,I,SI2,59.6,57.0,390432,7.04,7.01,4.19
1.0,Premium,E,SI2,61.2,60.0,390432,6.45,6.42,3.94
1.12,Premium,I,SI1,60.8,57.0,390432,6.76,6.7,4.09
1.2,Very Good,I,SI1,63.3,57.0,390432,6.7,6.66,4.23
1.5,Fair,I,SI2,64.9,61.0,390432,7.14,7.09,4.62
1.2,Premium,J,VS1,62.0,59.0,390432,6.77,6.72,4.18
1.12,Premium,H,SI2,61.9,58.0,390432,6.74,6.66,4.15
1.0,Premium,F,SI1,60.3,61.0,390432,6.43,6.38,3.86
1.0,Premium,E,SI2,61.7,58.0,390432,6.39,6.34,3.93
1.0,Very Good,D,SI2,63.3,56.0,390432,6.38,6.35,4.03
1.0,Very Good,E,SI2,63.5,56.0,390432,6.38,6.31,4.03
1.0,Premium,E,SI2,61.4,61.0,390432,6.41,6.36,3.92
1.0,Premium,E,SI2,61.1,58.0,390432,6.48,6.44,3.95
1.0,Premium,D,SI1,62.0,58.0,390432,6.41,6.29,3.94
1.0,Fair,D,SI1,64.9,59.0,390432,6.2,6.13,4.0
1.0,Fair,D,SI1,65.9,54.0,390432,6.24,6.2,4.1
1.01,Very Good,H,SI1,63.1,59.0,390515,6.34,6.43,4.03
1.03,Good,H,SI1,59.3,56.0,390515,6.57,6.66,3.92
1.22,Fair,F,SI2,65.0,56.0,390515,6.71,6.8,4.39
0.91,Ideal,E,SI1,61.0,57.0,390598,6.27,6.32,3.84
1.01,Premium,E,VS2,60.8,58.0,390598,6.43,6.4,3.9
0.9,Very Good,E,VS2,60.4,60.0,390681,6.23,6.29,3.78
0.9,Very Good,E,VS2,62.2,56.0,390681,6.12,6.17,3.82
0.9,Very Good,E,VS2,63.0,58.0,390681,6.13,6.16,3.87
1.01,Very Good,G,SI1,62.4,60.0,390681,6.34,6.39,3.97
1.13,Ideal,G,SI2,60.8,56.0,390681,6.64,6.72,4.06
1.01,Very Good,H,SI1,63.3,57.0,390681,6.41,6.36,4.04
1.01,Premium,H,SI1,62.2,54.0,390681,6.48,6.41,4.01
1.01,Premium,H,SI1,62.6,61.0,390681,6.39,6.36,3.99
1.14,Ideal,J,SI1,61.7,54.0,390764,6.71,6.74,4.15
1.02,Ideal,G,SI1,60.3,56.0,390764,6.57,6.54,3.95
1.13,Ideal,H,VS2,62.0,55.0,390764,6.68,6.65,4.13
0.9,Very Good,E,VS2,60.6,60.0,390847,6.14,6.27,3.76
1.11,Ideal,H,SI2,61.4,57.0,390847,6.63,6.67,4.08
1.11,Ideal,I,SI1,61.9,57.0,390847,6.62,6.67,4.11
0.34,Ideal,D,I1,62.5,57.0,34279,4.47,4.49,2.8
0.34,Ideal,D,I1,61.4,55.0,34279,4.5,4.52,2.77
0.31,Ideal,I,SI1,60.9,57.0,34362,4.36,4.41,2.67
0.23,Ideal,I,VVS1,63.0,56.0,34362,3.94,3.9,2.47
0.23,Premium,I,VVS1,60.5,61.0,34362,3.98,3.95,2.4
0.3,Good,D,SI2,60.8,65.0,34362,4.26,4.29,2.6
0.23,Very Good,G,VVS1,61.3,59.0,34362,3.94,3.96,2.42
0.23,Very Good,G,VVS1,60.2,59.0,34445,4.0,4.01,2.41
0.29,Good,F,VS1,62.1,56.0,34445,4.24,4.26,2.64
0.33,Ideal,F,SI2,61.4,55.0,34528,4.46,4.5,2.75
0.3,Fair,J,VS2,64.8,58.0,34528,4.24,4.16,2.72
0.33,Good,H,SI2,63.5,57.0,34528,4.36,4.39,2.78
0.26,Ideal,I,VS1,62.5,53.0,34611,4.08,4.11,2.56
0.31,Ideal,H,SI1,61.2,58.0,34611,4.37,4.39,2.68
0.24,Very Good,F,VS1,62.0,56.0,34611,3.94,3.99,2.46
0.24,Premium,E,VS2,62.6,58.0,34611,3.99,4.03,2.51
0.24,Ideal,F,VS2,61.8,57.0,34611,3.97,4.02,2.47
0.34,Very Good,H,SI2,58.6,62.0,34611,4.6,4.62,2.7
0.3,Good,G,SI1,63.2,55.0,34611,4.26,4.29,2.7
0.34,Premium,J,VS2,62.3,60.0,34611,4.46,4.49,2.79
0.34,Good,F,SI2,63.9,56.0,34611,4.4,4.43,2.82
0.26,Very Good,G,VS1,61.9,56.0,34694,4.07,4.1,2.53
0.26,Very Good,G,VS1,62.1,56.0,34694,4.07,4.11,2.54
0.31,Ideal,J,SI1,61.3,56.0,34694,4.37,4.4,2.69
0.31,Premium,I,SI1,59.6,58.0,34694,4.39,4.44,2.63
0.31,Ideal,I,SI1,62.5,56.0,34694,4.29,4.35,2.7
0.31,Very Good,I,SI1,62.8,60.0,34694,4.29,4.31,2.7
0.31,Premium,I,SI1,60.1,59.0,34694,4.38,4.41,2.64
0.31,Ideal,I,SI1,62.2,56.0,34694,4.34,4.37,2.71
0.31,Very Good,I,SI1,62.3,58.0,34694,4.35,4.38,2.72
0.3,Ideal,H,VVS2,60.8,58.0,48970,4.33,4.38,2.65
0.3,Ideal,H,VVS2,62.1,55.0,48970,4.33,4.36,2.7
0.27,Very Good,F,VVS2,62.3,59.0,49053,4.14,4.18,2.59
0.27,Very Good,F,VVS2,60.8,59.0,49053,4.17,4.19,2.54
0.26,Very Good,F,VVS1,61.2,60.0,49053,4.13,4.14,2.53
0.27,Very Good,F,VVS1,62.0,55.0,49053,4.16,4.16,2.59
0.27,Very Good,E,VVS1,62.4,55.0,49053,4.18,4.22,2.62
0.31,Ideal,F,VS2,61.8,53.0,49053,4.36,4.38,2.7
0.31,Ideal,F,VS2,60.5,57.0,49053,4.39,4.41,2.66
0.31,Ideal,F,VS2,61.3,55.0,49053,4.35,4.39,2.68
0.31,Ideal,H,SI1,61.5,56.0,49053,4.36,4.39,2.69
0.35,Good,F,SI2,63.8,56.0,49053,4.48,4.45,2.85
0.32,Premium,H,SI1,60.9,60.0,49053,4.43,4.4,2.69
0.32,Premium,H,SI1,61.8,56.0,49053,4.43,4.4,2.73
0.32,Very Good,H,SI1,63.1,58.0,49053,4.36,4.33,2.74
0.32,Premium,H,SI1,63.0,59.0,49053,4.37,4.33,2.74
0.32,Very Good,H,SI1,63.5,57.0,49053,4.39,4.34,2.77
0.32,Very Good,H,SI1,63.4,55.0,49053,4.38,4.36,2.77
0.32,Premium,H,SI1,62.3,60.0,49053,4.4,4.36,2.73
0.32,Premium,H,SI1,62.6,55.0,49053,4.38,4.37,2.74
0.32,Premium,H,SI1,62.0,58.0,49053,4.39,4.38,2.72
0.32,Good,H,SI1,63.7,55.0,49053,4.33,4.3,2.75
0.35,Premium,J,VS1,62.2,58.0,49053,4.54,4.49,2.81
0.35,Ideal,F,SI2,62.8,55.0,49053,4.53,4.48,2.83
0.4,Good,J,VS2,64.0,57.0,49053,4.67,4.7,3.0
0.29,Very Good,F,VVS2,60.8,63.0,49136,4.28,4.31,2.61
0.31,Very Good,F,VS1,61.8,58.0,49136,4.29,4.35,2.67
0.33,Ideal,I,VVS1,62.1,54.0,49136,4.46,4.49,2.78
0.32,Ideal,H,VS1,61.6,56.0,49136,4.42,4.46,2.73
0.33,Ideal,H,VS1,62.2,53.3,49136,4.45,4.48,2.77
1.07,Good,D,SI2,61.0,62.0,390930,6.6,6.68,4.05
1.16,Ideal,G,SI2,61.7,56.0,390930,6.82,6.76,4.18
0.95,Very Good,E,SI1,62.8,59.0,391013,6.21,6.25,3.91
1.23,Very Good,H,SI2,63.2,58.0,391013,6.8,6.74,4.28
1.2,Very Good,G,SI2,61.2,59.0,391096,6.78,6.84,4.17
1.12,Ideal,G,SI2,62.4,56.0,391096,6.63,6.67,4.15
1.02,Ideal,E,SI2,60.3,57.0,391096,6.5,6.53,3.95
1.0,Good,F,SI1,63.3,61.0,391096,6.29,6.31,3.99
1.0,Very Good,F,SI1,61.8,59.0,391096,6.33,6.38,3.93
1.02,Good,E,SI2,63.4,57.0,391096,6.41,6.43,4.07
1.02,Good,E,SI2,63.2,56.0,391096,6.37,6.41,4.04
1.02,Very Good,D,SI2,62.7,59.0,391096,6.36,6.44,4.01
0.9,Good,F,SI1,63.6,55.0,391096,6.15,6.12,3.9
1.13,Ideal,G,SI2,61.3,57.0,391096,6.73,6.67,4.11
1.1,Premium,G,SI1,59.6,60.0,391096,6.74,6.7,4.0
0.9,Very Good,D,VS2,63.2,58.0,391096,6.16,6.09,3.87
1.0,Ideal,H,SI2,61.4,60.0,391179,6.35,6.41,3.92
1.05,Ideal,E,SI2,60.3,61.0,391262,6.56,6.6,3.97
1.22,Ideal,I,SI2,60.7,57.0,391262,6.92,6.88,4.19
1.31,Very Good,G,SI2,63.4,58.0,391262,6.91,6.8,4.35
0.9,Very Good,F,VS2,63.2,59.0,391345,6.08,6.04,3.83
0.9,Very Good,F,VS2,63.2,57.0,391345,6.12,6.07,3.85
1.2,Premium,J,VS2,60.3,59.0,391345,6.9,6.94,4.17
1.1,Very Good,F,SI2,59.1,57.0,391345,6.72,6.82,4.0
